new_cases,positive_test_rate,total_vaccinations,people_fully_vaccinated,new_deaths
29700,0.3977,16213714,3152074,466
36736,0.3894,16213714,3152074,620
41194,0.3859,19894523,4381064,655
50228,0.4024,19894523,4381064,625
39174,0.396,19894523,4381064,583
31266,0.3878,19894523,4381064,564
28833,0.3773,19894523,4381064,555
24179,0.3642,19894523,4381064,544
36419,0.3627,19894523,4381064,684
38657,0.3579,19894523,4381064,610
40623,0.3355,23137699,6150817,709
39983,0.3296,23137699,6150817,665
36758,0.3271,23137699,6150817,694
36279,0.3276,23137699,6150817,571
26034,0.3255,23137699,6150817,614
31516,0.3149,26176126,7914881,581
33780,0.3047,27057253,8446118,669
31319,0.2949,27057253,8446118,643
33170,0.2886,27057253,8446118,599
30279,0.2817,27057253,8446118,595
27621,0.2706,27057253,8446118,561
20404,0.2655,27057253,8446118,515
25870,0.2573,29152527,9684669,610
27579,0.2485,29152527,9684669,583
27138,0.2446,29152527,9684669,635
26854,0.2365,29152527,9684669,538
26821,0.2323,29152527,9684669,505
21114,0.2227,29152527,9684669,445
16654,0.2186,29152527,9684669,444
20219,0.2145,35047143,12104002,487
22541,0.21,36753231,12549387,448
22329,0.2039,36753231,12549387,408
19731,0.195,36753231,12549387,452
18021,0.1829,36753231,12549387,453
17605,0.1792,36753231,12549387,364
12847,0.173,42003863,13620868,355
15975,0.1656,42003863,13620868,391
17397,0.1595,43372270,13961491,344
17564,0.1533,43372270,13961491,379
17433,0.1511,43372270,13961491,286
16362,0.1506,43372270,13961491,317
15294,0.1479,43372270,13961491,284
10843,0.1463,43372270,13961491,290
13792,0.1449,43372270,13961491,278
14470,0.1401,51950783,15646961,289
11701,0.1325,51950783,15646961,239
13271,0.1267,51950783,15646961,272
14078,0.1231,51950783,15646961,268
14525,0.1222,51950783,15646961,235
10135,0.121,51950783,15646961,217
12428,0.1195,57676540,16715387,229
14607,0.1209,57676540,16715387,238
13226,0.1235,57676540,16715387,216
10497,0.1205,57676540,16715387,216
11625,0.1179,57676540,16715387,233
9897,0.112,57676540,16715387,185
7654,0.109,57676540,16715387,173
11256,0.1077,64401471,19326200,222
13504,0.1062,64401471,19326200,276
13391,0.1066,64401471,19326200,213
12298,0.1086,64401471,19326200,194
11964,0.1081,64401471,19326200,223
11857,0.1098,64401471,19326200,197
7515,0.1087,64401471,19326200,181
11396,0.1075,64401471,19326200,199
11844,0.1048,74113680,25156987,181
13308,0.104,74113680,25156987,167
11770,0.1034,74113680,25156987,162
11788,0.1033,77641350,27604934,178
11064,0.1028,77641350,27604934,165
7081,0.1027,79533819,28872959,124
9174,0.1008,79533819,28872959,171
7516,0.0955,81360772,30139400,140
9096,0.0906,81360772,30139400,156
10644,0.089,81360772,30139400,197
11409,0.0887,81360772,30139400,159
9893,0.0867,85369917,33088940,123
6809,0.0864,85369917,33088940,128
8427,0.085,85369917,33088940,177
9857,0.0878,85369917,33088940,153
10104,0.0886,89255211,36054893,160
10363,0.0885,89255211,36054893,147
9862,0.086,89255211,36054893,158
8633,0.0844,92677737,37784542,132
6803,0.0841,92677737,37784542,120
7554,0.0826,92677737,37784542,126
8341,0.0799,92677737,37784542,140
8305,0.0773,95866990,40193198,112
7948,0.074,95866990,40193198,135
7539,0.0713,95866990,40193198,123
7322,0.0697,95866990,40193198,109
4306,0.0668,98181400,42183468,124
6143,0.0655,98181400,42183468,125
7494,0.065,98181400,42183468,105
6430,0.0627,98181400,42183468,134
6251,0.0654,98181400,42183468,125
5882,0.0686,98181400,42183468,103
5784,0.0567,98181400,42183468,100
3539,0.0559,98181400,42183468,118
4340,0.0536,102145229,44726047,104
5427,0.0507,102145229,44726047,97
5144,0.049,102145229,44726047,124
4813,0.0436,102145229,44726047,103
4850,0.0394,102145229,44726047,96
4384,0.0429,102145229,44726047,86
3045,0.042,104609358,46328337,87
3781,0.0411,104781077,46522058,80
4310,0.0396,104781077,46522058,82
4253,0.0384,104781077,46522058,119
4312,0.0378,104781077,46522058,82
3839,0.0365,104781077,46522058,76
3603,0.0356,104781077,46522058,78
2157,0.0345,104781077,46522058,58
3109,0.0336,107531771,48149791,76
3356,0.0324,107531771,48149791,77
3514,0.0314,107531771,48149791,79
3309,0.0301,107531771,48149791,90
3228,0.0295,107531771,48149791,78
2971,0.0288,107531771,48149791,79
1681,0.0282,107531771,48149791,58
2289,0.0273,109807742,49150330,61
2706,0.0266,109807742,49150330,42
2784,0.0258,109807742,49150330,67
2651,0.0251,109807742,49150330,52
2500,0.0243,109807742,49150330,63
2196,0.0232,109807742,49150330,46
1361,0.0229,109807742,49150330,41
1968,0.0225,113239941,50340978,50
2390,0.0219,113239941,50340978,41
2413,0.0214,113239941,50340978,43
2103,0.0207,113239941,50340978,44
1932,0.02,113239941,50340978,51
1967,0.0197,113239941,50340978,44
1121,0.0194,113239941,50340978,42
1857,0.0192,116210697,51194091,52
1967,0.0187,116210697,51194091,34
2128,0.0184,116210697,51194091,40
1905,0.0182,116210697,51194091,53
1936,0.0183,116210697,51194091,45
1703,0.0181,116210697,51194091,34
1002,0.0181,116210697,51194091,33
1510,0.0176,116210697,51194091,41
1677,0.0172,119325720,51938622,22
1706,0.0166,119325720,51938622,34
1171,0.0155,119325720,51938622,42
1579,0.015,119325720,51938622,24
1178,0.0145,119325720,51938622,19
701,0.0143,119325720,51938622,26
1480,0.0147,122153249,52530978,31
1932,0.0156,122153249,52530978,37
1961,0.0165,122153249,52530978,25
2089,0.0186,122153249,52530978,32
2394,0.0202,124970698,52974192,30
2539,0.0224,125262221,53018325,24
1421,0.0237,125560035,53064275,18
2292,0.0251,125973179,53130215,31
3163,0.0268,126401975,53195312,20
3653,0.0292,126779652,53258700,18
4060,0.032,127216770,53334908,19
4658,0.0354,127687808,53420305,20
5276,0.0396,127687808,53420305,20
3503,0.0424,128252824,53517573,30
5144,0.0463,128640395,53586646,28
7691,0.0532,129022276,53651657,21
9378,0.0619,129022276,53651657,23
11851,0.0739,129913186,53796203,29
14285,0.0888,129913186,53796203,30
16757,0.1066,130711386,53917006,23
11731,0.1186,131044477,53961998,24
21996,0.1445,131617252,54040089,44
28995,0.1765,132202293,54116027,30
35070,0.2146,132725305,54189193,50
38160,0.2511,133346414,54277761,59
37395,0.2801,134137258,54370250,61
36908,0.3052,134449270,54405243,57
23130,0.3172,134804696,54447739,64
35429,0.3316,135264672,54505698,85
39819,0.3433,135705646,54561630,104
38757,0.3469,136080644,54611857,114
39085,0.3492,136475508,54666259,116
33681,0.3469,136862214,54715414,130
31247,0.3478,137110534,54745040,143
