Seasonally Adjusted CO2 (ppm),Carbon Dioxide Fit (ppm),Seasonally Adjusted CO2 Fit (ppm),Carbon Dioxide (ppm)
370.17,366.51,369.93,366.73
370.46,367.93,370.08,368.29
370.42,369.33,370.2,369.53
370.26,370.36,370.33,370.28
370.79,371.16,370.45,371.5
370.63,372.06,370.55,372.12
370.18,373.37,370.67,372.87
370.79,374.02,370.79,374.02
370.86,373.34,370.92,373.31
370.81,371.82,371.05,371.62
371,369.71,371.19,369.55
371.29,368,371.35,367.96
371.55,368.06,371.51,368.1
371.86,369.52,371.67,369.68
372.14,370.95,371.83,371.24
372.41,372.03,372,372.44
372.38,372.88,372.17,373.08
372.03,373.84,372.33,373.52
372.16,375.22,372.51,374.86
372.31,375.94,372.7,375.55
372.94,375.35,372.91,375.4
373.21,373.9,373.13,374.02
372.93,371.87,373.36,371.48
374.04,370.24,373.59,370.7
373.71,370.37,373.82,370.25
374.26,371.9,374.06,372.08
374.69,373.4,374.28,373.78
374.66,374.54,374.51,374.68
374.92,375.44,374.72,375.62
374.61,376.43,374.91,376.11
374.95,377.85,375.12,377.65
375.1,378.58,375.33,378.35
375.66,377.98,375.53,378.13
375.8,376.5,375.72,376.61
375.94,374.42,375.92,374.48
376.33,372.73,376.1,372.98
376.48,372.8,376.27,373
376.54,374.26,376.43,374.34
376.6,375.68,376.57,375.69
376.76,376.74,376.71,376.79
376.65,377.56,376.84,377.36
376.87,378.5,376.96,378.39
377.76,379.83,377.07,380.5
377.35,380.44,377.18,380.61
377.1,379.73,377.3,379.55
376.99,378.17,377.42,377.76
377.32,376.03,377.55,375.84
377.42,374.32,377.71,374.05
377.7,374.4,377.87,374.22
378.04,375.88,378.05,375.84
378.35,377.35,378.24,377.44
378.31,378.48,378.44,378.34
378.9,379.38,378.66,379.61
378.67,380.38,378.85,380.17
379.33,381.81,379.07,382.05
378.96,382.56,379.29,382.24
379.6,381.97,379.51,382.08
379.85,380.5,379.72,380.67
380.13,378.43,379.94,378.67
379.79,376.76,380.15,376.42
380.3,376.86,380.35,376.8
380.51,378.36,380.55,378.31
380.87,379.84,380.73,379.96
381.34,380.95,380.91,381.37
381.3,381.81,381.08,382.02
381.05,382.76,381.23,382.56
381.64,384.13,381.38,384.37
381.64,384.81,381.53,384.92
381.54,384.14,381.67,384.03
381.47,382.6,381.81,382.28
381.94,380.46,381.96,380.48
382.19,378.72,382.11,378.81
382.57,378.76,382.26,379.06
382.35,380.22,382.41,380.14
382.57,381.66,382.56,381.66
